waiting_time_days,outcome
5,0.0
9,0.0
10,0.0
11,0.0
13,0.0
14,0.0
15,0.14285714285714285
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.3333333333333333
23,0.0
24,0.0
25,0.09090909090909091
26,0.0
27,0.0
28,0.0
29,0.13333333333333333
30,0.058823529411764705
31,0.0
32,0.05
33,0.0
34,0.08
35,0.0
36,0.06666666666666667
37,0.043478260869565216
38,0.09803921568627451
39,0.06976744186046512
40,0.0625
41,0.0
42,0.06896551724137931
43,0.0641025641025641
44,0.03389830508474576
45,0.12790697674418605
46,0.012195121951219513
47,0.03305785123966942
48,0.038834951456310676
49,0.058823529411764705
50,0.0234375
51,0.07258064516129033
52,0.027522935779816515
53,0.0660377358490566
54,0.06976744186046512
55,0.03076923076923077
56,0.023255813953488372
57,0.05970149253731343
58,0.061068702290076333
59,0.06923076923076923
60,0.0364963503649635
61,0.06153846153846154
62,0.04285714285714286
63,0.10852713178294573
64,0.046875
65,0.03669724770642202
66,0.05303030303030303
67,0.042735042735042736
68,0.06349206349206349
69,0.029411764705882353
70,0.049019607843137254
71,0.017391304347826087
72,0.03260869565217391
73,0.0449438202247191
74,0.03896103896103896
75,0.07017543859649122
76,0.058823529411764705
77,0.02702702702702703
78,0.07142857142857142
79,0.04411764705882353
80,0.018518518518518517
81,0.05128205128205128
82,0.04
83,0.021739130434782608
84,0.0
85,0.1111111111111111
86,0.08
87,0.03225806451612903
88,0.0
89,0.0
90,0.0
91,0.08333333333333333
92,0.0
93,0.18181818181818182
94,0.0
95,0.1111111111111111
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
109,0.0
110,0.0
111,0.0
